qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
3309,17,22,23,23,4,1:40.574,1:40.421,1:41.786
3310,17,18,23,22,5,1:40.378,1:40.148,1:41.892
3311,17,15,7,9,6,1:40.517,1:40.373,1:41.897
3312,17,9,2,5,7,1:40.520,1:40.545,1:41.992
3313,17,2,2,6,8,1:40.558,1:40.635,1:42.343
3314,17,3,3,16,9,1:40.842,1:40.661,1:42.583
3315,17,67,5,12,10,1:40.908,1:40.430,1:42.713
3316,17,8,6,4,11,1:41.100,1:40.726,NoData
3317,17,155,7,10,12,1:41.035,1:40.777,NoData
3318,17,5,1,2,13,1:40.808,1:40.983,NoData
3319,17,6,3,17,14,1:41.096,1:41.148,NoData
3320,17,153,5,11,15,1:41.503,1:41.689,NoData
3321,17,4,4,7,16,1:41.667,NoData,NoData
3322,17,24,10,21,17,1:41.701,NoData,NoData
3323,17,16,10,20,18,1:41.836,NoData,NoData
3324,17,154,4,8,19,1:41.950,NoData,NoData
3325,17,21,6,3,20,1:42.184,NoData,NoData
3326,337,20,9,5,1,1:55.029,1:53.883,1:54.101
3327,337,13,6,7,2,1:55.313,1:54.331,1:54.242
3328,337,4,6,8,3,1:54.612,1:54.172,1:54.608
3329,337,1,1,2,4,1:55.341,1:54.707,1:55.217
3330,337,3,131,4,5,1:55.463,1:54.682,1:55.241
3331,337,17,9,6,6,1:55.298,1:54.318,1:55.284
3332,337,30,131,3,7,1:55.593,1:55.105,1:55.524
3333,337,18,1,1,8,1:55.715,1:55.168,1:55.672
3334,337,9,4,11,9,1:55.511,1:54.963,1:55.885
3335,337,16,10,14,10,1:55.213,1:54.996,1:56.309
3336,337,22,3,9,11,1:55.969,1:55.330,NoData
3337,337,24,10,15,12,1:55.628,1:55.623,NoData
3338,337,807,3,10,13,1:56.375,1:55.857,NoData
3339,337,37,15,22,14,1:56.428,1:56.237,NoData
3340,337,67,5,16,15,1:56.189,1:56.265,NoData
3341,337,155,15,23,16,1:56.541,1:56.270,NoData
3342,337,808,4,12,17,1:56.167,1:56.619,NoData
3343,337,153,5,17,18,1:57.071,NoData,NoData
3344,337,10,166,24,19,1:59.728,NoData,NoData
3345,337,15,205,18,20,1:59.852,NoData,NoData
3346,337,5,205,19,21,2:00.313,NoData,NoData
3347,337,810,166,25,22,2:00.587,NoData,NoData
3348,337,811,164,21,23,2:03.204,NoData,NoData
3349,337,812,164,20,24,2:04.904,NoData,NoData
3350,338,20,9,5,1,1:24.774,1:24.096,1:23.919
3351,338,17,9,6,2,1:25.286,1:24.276,1:24.035
3352,338,4,6,8,3,1:25.082,1:24.335,1:24.111
3353,338,18,1,1,4,1:24.897,1:24.531,1:24.675
3354,338,13,6,7,5,1:25.548,1:25.010,1:24.837
3355,338,3,131,4,6,1:24.788,1:24.788,1:24.884
3356,338,30,131,3,7,1:25.351,1:24.871,1:24.927
3357,338,22,3,9,8,1:25.702,1:25.085,1:25.217
3358,338,9,4,11,9,1:25.588,1:25.122,1:25.372
3359,338,16,10,14,10,1:25.504,1:25.046,1:26.036
3360,338,1,1,2,11,1:25.046,1:25.184,NoData
3361,338,67,5,16,12,1:26.061,1:25.638,NoData
3362,338,24,10,15,13,1:26.170,1:25.743,NoData
3363,338,37,15,22,14,1:26.089,1:25.747,NoData
3364,338,807,3,10,15,1:25.866,1:25.748,NoData
3365,338,155,15,23,16,1:26.251,1:25.777,NoData
3366,338,153,5,17,17,1:26.095,1:26.089,NoData
3367,338,808,4,12,18,1:26.471,NoData,NoData
3368,338,5,205,19,19,1:28.797,NoData,NoData
3369,338,15,205,18,20,1:29.111,NoData,NoData
3370,338,10,166,24,21,1:29.592,NoData,NoData
3371,338,810,166,25,22,1:30.185,NoData,NoData
3372,338,811,164,21,23,1:30.526,NoData,NoData
3373,338,812,164,20,24,1:30.613,NoData,NoData
3374,339,17,9,6,1,1:51.886,1:48.210,1:49.327
3375,339,3,131,4,2,1:52.560,1:47.417,1:50.673
3376,339,20,9,5,3,1:47.632,1:46.828,1:50.789
3377,339,16,10,14,4,1:49.479,1:47.085,1:50.914
3378,339,807,3,10,5,1:49.664,1:47.346,1:51.001
3379,339,9,4,11,6,1:46.283,1:46.951,1:51.051
3380,339,22,3,9,7,1:50.301,1:48.371,1:51.511
3381,339,30,131,3,8,1:52.239,1:48.400,1:51.717
3382,339,155,15,23,9,1:48.467,1:47.792,1:51.767
3383,339,24,10,15,10,1:49.922,1:48.238,1:52.254
3384,339,808,4,12,11,1:47.952,1:48.760,NoData
3385,339,37,15,22,12,1:47.153,1:48.771,NoData
3386,339,67,5,16,13,1:48.945,1:49.207,NoData
3387,339,153,5,17,14,1:48.655,1:49.464,NoData
3388,339,5,205,19,15,1:52.875,1:52.270,NoData
3389,339,10,166,24,16,1:52.398,1:52.520,NoData
3390,339,18,1,1,17,1:52.211,NoData,NoData
3391,339,15,205,18,18,1:52.884,NoData,NoData
3392,339,4,6,8,19,1:53.044,NoData,NoData
3393,339,1,1,2,20,1:53.050,NoData,NoData
3394,339,13,6,7,21,1:53.283,NoData,NoData
3395,339,812,164,20,22,1:56.299,NoData,NoData
3396,339,811,164,21,23,1:57.269,NoData,NoData
3397,339,810,166,25,24,1:59.977,NoData,NoData
3398,340,20,9,5,1,1:36.317,1:35.280,1:34.558
3399,340,17,9,6,2,1:35.978,1:35.100,1:34.808
3400,340,4,6,8,3,1:35.987,1:35.235,1:34.913
3401,340,3,131,4,4,1:35.952,1:35.134,1:34.923
3402,340,18,1,1,5,1:36.122,1:35.443,1:34.979
3403,340,1,1,2,6,1:35.641,1:34.928,1:35.034
3404,340,13,6,7,7,1:36.076,1:35.290,1:35.180
3405,340,9,4,11,8,1:36.348,1:35.550,1:35.364
3406,340,30,131,3,9,1:36.484,1:35.715,1:35.646
3407,340,16,10,14,10,1:36.671,1:35.665,1:35.963
3408,340,22,3,9,11,1:36.664,1:35.748,NoData
3409,340,153,5,17,12,1:36.618,1:36.047,NoData
3410,340,67,5,16,13,1:36.793,1:36.149,NoData
3411,340,808,4,12,14,1:37.031,1:36.311,NoData
3412,340,155,15,23,15,1:37.044,1:36.422,NoData
3413,340,807,3,10,16,1:37.049,1:36.647,NoData
3414,340,37,15,22,17,1:37.050,1:37.020,NoData
3415,340,24,10,15,18,1:37.161,NoData,NoData
3416,340,10,166,24,19,1:39.278,NoData,NoData
3417,340,15,205,18,20,1:39.399,NoData,NoData
3418,340,5,205,19,21,1:39.520,NoData,NoData
3419,340,810,166,25,22,1:39.783,NoData,NoData
3420,340,811,164,21,23,1:40.469,NoData,NoData
3421,340,812,164,20,24,1:40.578,NoData,NoData
3422,341,17,9,6,1,1:21.412,1:20.655,1:19.995
3423,341,20,9,5,2,1:21.680,1:20.772,1:20.101
3424,341,1,1,2,3,1:21.723,1:21.415,1:20.829
3425,341,4,6,8,4,1:21.957,1:21.549,1:20.937
3426,341,18,1,1,5,1:21.915,1:21.168,1:20.991
3427,341,30,131,3,6,1:22.528,1:21.557,1:21.294
3428,341,9,4,11,7,1:22.488,1:21.599,1:21.353
3429,341,3,131,4,8,1:22.419,1:21.867,1:21.408
3430,341,13,6,7,9,1:22.564,1:21.841,1:21.585
3431,341,155,15,23,10,1:22.577,1:21.725,1:21.984
3432,341,16,10,14,11,1:22.628,1:21.985,NoData
3433,341,37,15,22,12,1:22.211,1:22.026,NoData
3434,341,807,3,10,13,1:22.857,1:22.131,NoData
3435,341,808,4,12,14,1:22.976,1:22.139,NoData
3436,341,67,5,16,15,1:22.699,1:22.191,NoData
3437,341,153,5,17,16,1:22.593,1:22.207,NoData
3438,341,24,10,15,17,1:23.084,1:22.854,NoData
3439,341,22,3,9,18,1:23.125,NoData,NoData
3440,341,15,205,18,19,1:24.674,NoData,NoData
3441,341,5,205,19,20,1:24.748,NoData,NoData
3442,341,10,166,24,21,1:25.475,NoData,NoData
3443,341,810,166,25,22,1:25.556,NoData,NoData
3444,341,812,164,20,23,1:26.750,NoData,NoData
3445,341,811,164,21,24,1:27.122,NoData,NoData
3446,342,17,9,6,1,1:15.035,1:14.462,1:13.826
3447,342,9,4,11,2,1:15.045,1:14.549,1:14.120
3448,342,20,9,5,3,1:15.110,1:14.568,1:14.227
3449,342,13,6,7,4,1:14.757,1:14.405,1:14.283
3450,342,1,1,2,5,1:15.676,1:14.527,1:14.432
3451,342,3,131,4,6,1:15.188,1:14.375,1:14.544
3452,342,30,131,3,7,1:15.649,1:14.691,1:14.590
3453,342,18,1,1,8,1:15.623,1:15.150,1:14.637
3454,342,22,3,9,9,1:15.590,1:15.083,1:14.901
3455,342,24,10,15,10,1:15.397,1:15.061,1:15.170
3456,342,807,3,10,11,1:16.030,1:15.317,NoData
3457,342,16,10,14,12,1:15.445,1:15.318,NoData
3458,342,67,5,16,13,1:15.961,1:15.413,NoData
3459,342,808,4,12,14,1:15.482,1:15.576,NoData
3460,342,37,15,22,15,1:15.908,1:15.692,NoData
3461,342,155,15,23,16,1:16.175,1:15.992,NoData
3462,342,153,5,17,17,1:16.021,1:16.176,NoData
3463,342,5,205,19,18,1:17.094,NoData,NoData
3464,342,15,205,18,19,1:17.134,NoData,NoData
3465,342,10,166,24,20,1:17.377,NoData,NoData
3466,342,810,166,25,21,1:17.864,NoData,NoData
3467,342,811,164,21,22,1:18.509,NoData,NoData
3468,342,812,164,20,23,1:19.559,NoData,NoData
3469,342,4,6,8,24,NoData,NoData,NoData
3470,343,17,9,6,1,1:27.500,1:26.818,1:26.295
3471,343,1,1,2,2,1:27.667,1:27.013,1:26.433
3472,343,20,9,5,3,1:27.067,1:26.729,1:26.760
3473,343,18,1,1,4,1:27.555,1:27.277,1:26.781
3474,343,30,131,3,5,1:27.756,1:27.438,1:26.857
3475,343,3,131,4,6,1:27.649,1:27.141,1:26.952
3476,343,9,4,11,7,1:27.766,1:27.426,1:27.039
3477,343,13,6,7,8,1:27.993,1:27.200,1:27.082
3478,343,808,4,12,9,1:27.620,1:27.387,1:27.430
3479,343,155,15,23,10,1:28.158,1:27.434,1:28.122
3480,343,16,10,14,11,1:27.951,1:27.525,NoData
3481,343,4,6,8,12,1:27.857,1:27.612,NoData
3482,343,37,15,22,13,1:28.147,1:27.879,NoData
3483,343,67,5,16,14,1:28.534,1:28.273,NoData
3484,343,22,3,9,15,1:28.336,1:28.392,NoData
3485,343,153,5,17,16,1:28.460,1:28.540,NoData
3486,343,807,3,10,17,1:28.227,1:28.841,NoData
3487,343,24,10,15,18,1:28.958,NoData,NoData
3488,343,15,205,18,19,1:30.237,NoData,NoData
3489,343,5,205,19,20,1:30.519,NoData,NoData
3490,343,10,166,24,21,1:30.744,NoData,NoData
3491,343,811,164,21,22,1:31.266,NoData,NoData
3492,343,810,166,25,23,1:31.989,NoData,NoData
3493,343,812,164,20,24,1:32.060,NoData,NoData
3494,344,1,1,2,1,1:15.889,1:15.528,1:15.105
3495,344,17,9,6,2,1:16.423,1:15.692,1:15.373
3496,344,20,9,5,3,1:16.129,1:15.556,1:15.420
3497,344,4,6,8,4,1:16.171,1:15.597,1:15.435
3498,344,18,1,1,5,1:16.371,1:15.742,1:15.520
3499,344,24,10,15,6,1:17.086,1:16.171,1:15.648
3500,344,13,6,7,7,1:16.673,1:16.314,1:15.688
3501,344,9,4,11,8,1:16.370,1:15.682,1:15.715
3502,344,16,10,14,9,1:16.495,1:16.295,1:15.881
3503,344,3,131,4,10,1:16.350,1:16.001,1:16.071
3504,344,22,3,9,11,1:16.880,1:16.434,NoData
3505,344,807,3,10,12,1:16.770,1:16.438,NoData
3506,344,30,131,3,13,1:16.598,1:16.492,NoData
